t=2025-11-23T23:58:06+0530 lvl=info msg="no configuration paths supplied"
t=2025-11-23T23:58:06+0530 lvl=info msg="using configuration at default config path" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-23T23:58:06+0530 lvl=info msg="open config file" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=39657aa91731 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=f55346a889be l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:11:23+0530 lvl=info msg="join connections" obj=join id=28be32573639 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:11:23+0530 lvl=info msg="join connections" obj=join id=0323f0230fb4 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:11:52+0530 lvl=info msg="join connections" obj=join id=7bf0a035c9af l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:11:52+0530 lvl=info msg="join connections" obj=join id=167e6a97469c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:12:22+0530 lvl=info msg="join connections" obj=join id=6bbef43fd2eb l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:12:22+0530 lvl=info msg="join connections" obj=join id=951a0951b68d l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:12:51+0530 lvl=info msg="join connections" obj=join id=3532463acecb l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:12:51+0530 lvl=info msg="join connections" obj=join id=227cfb4591a5 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:13:22+0530 lvl=info msg="join connections" obj=join id=4836dd43002b l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:13:22+0530 lvl=info msg="join connections" obj=join id=9ecf45feda70 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:13:52+0530 lvl=info msg="join connections" obj=join id=4f69c3069263 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:13:52+0530 lvl=info msg="join connections" obj=join id=a52a7d465249 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:14:21+0530 lvl=info msg="join connections" obj=join id=725c60e5982e l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:14:21+0530 lvl=info msg="join connections" obj=join id=3b8f953b93c6 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:14:51+0530 lvl=info msg="join connections" obj=join id=420cb9fd548f l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:14:51+0530 lvl=info msg="join connections" obj=join id=74412f617da3 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:15:22+0530 lvl=info msg="join connections" obj=join id=1e3a4275b993 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:15:22+0530 lvl=info msg="join connections" obj=join id=dbaddf15c615 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:15:52+0530 lvl=info msg="join connections" obj=join id=29b1db774268 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:15:52+0530 lvl=info msg="join connections" obj=join id=46a6fd57f918 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:16:21+0530 lvl=info msg="join connections" obj=join id=87cbb4b5e6d1 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:16:21+0530 lvl=info msg="join connections" obj=join id=57c1c4c99d75 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:16:52+0530 lvl=info msg="join connections" obj=join id=536d1f743146 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
t=2025-11-24T00:16:52+0530 lvl=info msg="join connections" obj=join id=3b67dc1e8161 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60654
